entry_date,entry_minute,exit_date,exit_minute,entry_price,exit_price,position_size,pnl
20241008,49,20241008,50,7329.268012361743,7343.620515970802,-0.8880149206691051,-0.001454237107763391
20241008,54,20241008,55,7260.051906247086,7233.430326972217,0.8740374249471589,0.0
20241008,55,20241008,56,7240.838070770442,7231.346899028967,0.9053367141818028,-0.0008941845199115381
20241008,58,20241008,59,7230.883915041578,7176.251804529675,0.6045765958136192,0.0
20241008,59,20241008,60,7194.308180037847,7172.316440636869,0.6034098880082148,-0.0015173748141278265
20241008,61,20241008,62,7171.158980668396,7099.164970629404,0.8750127544221626,0.0
20241008,62,20241008,63,7155.880509084558,7082.266055089705,0.9025979245310118,-0.00693511014600908
20241008,63,20241008,64,7100.090938604182,7082.4975470834,0.9096553122231739,-0.0022659854647350177
20241008,65,20241008,66,7094.072146768125,6862.3486610799255,0.9190637514337209,0.0
20241008,66,20241008,67,6999.623413340767,6864.432089023176,0.9398866850134329,-0.018024433793041507
20241008,71,20241008,72,7088.053354932068,7124.166105948411,-0.8980636321994642,0.0
20241008,73,20241008,74,7084.349483032956,7188.983864182873,-0.8991276965665407,0.0
20241008,74,20241008,75,7144.305909399833,7188.983864182873,-0.7526329065311224,-0.00562282565735674
20241008,79,20241008,80,7108.424650377184,7088.053354932068,0.9217809910516988,0.0
20241008,80,20241008,81,7110.508078320435,7090.3682748690135,0.895268078213907,-0.0029109505186877484
20241008,87,20241008,88,7072.543391354536,7060.042823695034,0.5751984439768798,0.0
20241008,93,20241008,94,7117.684330124965,7159.584380983671,-0.5164523496375404,0.0
20241008,94,20241008,95,7163.519744876477,7187.131928233316,-0.9581428413673329,0.00028371917737393535
20241008,95,20241008,96,7155.649017090864,7202.641891810848,-0.9697379230200358,-0.004215568128690585
20241008,96,20241008,97,7187.131928233316,7215.836935451435,-0.9770304715485136,-0.0020927123664876827
20241008,97,20241008,98,7204.7253197541,7212.133063552323,-0.9890511811163496,-0.0015068426126762337
20241008,105,20241008,106,7238.523150833497,7334.3608362230225,-0.9570426689388377,0.0
20241008,106,20241008,107,7280.423201692202,7336.212772172578,-0.9155947967985748,-0.007090332014713934
20241008,107,20241008,108,7334.592328216717,7335.74978818519,-0.8510355381579119,-0.0002022839154648721
20241008,108,20241008,109,7336.675756159968,7336.212772172578,-0.9584206172961632,0.0001074099060560109
20241008,114,20241008,115,7272.320981912894,7268.385618020088,0.6669945491231379,0.0
20241008,121,20241008,122,7280.191709698508,7306.118812992292,-0.7421963697858796,0.0
20241008,122,20241008,123,7293.386753339095,7307.276272960765,-0.9166826264551425,-0.001295651632648443
20241008,129,20241008,130,7168.612568737755,7132.036833734024,0.61816748292879,0.0
20241008,130,20241008,131,7138.98159354486,7129.72191379708,0.8546430990946554,-0.0006013497353307199
20241008,132,20241008,133,7130.416389778162,7127.869977847523,0.8972018216055753,0.0
